full_name,self_assessment,performance_rating,goals_for_next_year
name_1,43,Needs Improvement,Feedback 1
name_2,22,Excellent,Feedback 2
name_3,100,Needs Improvement,Feedback 3
name_4,15,Good,Feedback 4
name_5,63,Needs Improvement,Feedback 5
name_6,86,Good,Feedback 6
name_7,86,Good,Feedback 7
name_8,24,Excellent,Feedback 8
name_9,95,Needs Improvement,Feedback 9
name_10,92,Excellent,Feedback 10
name_11,33,Excellent,Feedback 11
name_12,64,Needs Improvement,Feedback 12
name_13,73,Good,Feedback 13
name_14,92,Excellent,Feedback 14
name_15,64,Good,Feedback 15
name_16,56,Excellent,Feedback 16
name_17,32,Good,Feedback 17
name_18,58,Excellent,Feedback 18
name_19,80,Good,Feedback 19
name_20,67,Needs Improvement,Feedback 20
name_21,35,Needs Improvement,Feedback 21
name_22,8,Excellent,Feedback 22
name_23,7,Good,Feedback 23
name_24,47,Good,Feedback 24
name_25,67,Needs Improvement,Feedback 25
name_26,57,Needs Improvement,Feedback 26
name_27,96,Good,Feedback 27
name_28,61,Good,Feedback 28
name_29,97,Needs Improvement,Feedback 29
name_30,23,Good,Feedback 30
name_31,6,Needs Improvement,Feedback 31
name_32,64,Needs Improvement,Feedback 32
name_33,69,Excellent,Feedback 33
name_34,27,Needs Improvement,Feedback 34
name_35,61,Needs Improvement,Feedback 35
name_36,47,Excellent,Feedback 36
name_37,99,Needs Improvement,Feedback 37
name_38,72,Needs Improvement,Feedback 38
name_39,55,Good,Feedback 39
name_40,34,Needs Improvement,Feedback 40
name_41,20,Good,Feedback 41
name_42,49,Good,Feedback 42
name_43,10,Excellent,Feedback 43
name_44,45,Excellent,Feedback 44
name_45,63,Needs Improvement,Feedback 45
name_46,86,Good,Feedback 46
name_47,10,Needs Improvement,Feedback 47
name_48,38,Good,Feedback 48
name_49,30,Excellent,Feedback 49
name_50,97,Excellent,Feedback 50
name_51,49,Good,Feedback 51
name_52,100,Needs Improvement,Feedback 52
name_53,52,Good,Feedback 53
name_54,88,Good,Feedback 54
name_55,89,Good,Feedback 55
name_56,14,Good,Feedback 56
name_57,27,Good,Feedback 57
name_58,81,Needs Improvement,Feedback 58
name_59,5,Needs Improvement,Feedback 59
name_60,86,Needs Improvement,Feedback 60
name_61,76,Excellent,Feedback 61
name_62,25,Needs Improvement,Feedback 62
name_63,61,Needs Improvement,Feedback 63
name_64,4,Excellent,Feedback 64
name_65,6,Excellent,Feedback 65
name_66,36,Needs Improvement,Feedback 66
name_67,66,Good,Feedback 67
name_68,48,Excellent,Feedback 68
name_69,3,Needs Improvement,Feedback 69
name_70,75,Needs Improvement,Feedback 70
